bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin;
3;1;151.0;48.8;0.0;4.69;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
4;1;171.41;23.4;0.0;2.1;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
10;1;134.0;24.7;0.0;12.44;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
21;1;161.2;39.3;0.0;30.71;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
22;1;0.0;-0.0;0.0;0.85;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
26;1;167.3;54.8;0.0;110.54;0;1.00000;0.00000;380.0;5;1.10000;0.90000;
29;1;152.9;49.4;0.0;27.65;0;1.00000;0.00000;380.0;5;1.10000;0.90000;
44;1;-0.0;0.0;0.0;7.27;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
53;1;48.65;16.1;0.0;7.14;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
58;1;0.0;0.0;0.0;2.31;0;1.00000;0.00000;380.0;5;1.10000;0.90000;
59;1;119.2;20.7;0.0;3.31;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
90;1;363.25;115.39;0.0;3.95;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
96;1;-8.4;28.66;0.0;3.49;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
113;1;-0.0;-0.0;0.0;6.532711;0;1.00000;0.00000;380.0;5;1.10000;0.90000;
115;1;0.0;-0.0;0.0;4.21;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
118;1;704.53;-35.33;0.0;13.102834;0;1.00000;0.00000;380.0;5;1.10000;0.90000;
124;2;0.0;0.0;0.0;0.0;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
128;1;23.73;12.7;0.0;0.52;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
145;1;38.34;5.6;0.0;7.64;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
148;1;32.34;12.0;0.0;6.1;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
150;2;0.0;0.0;0.0;0.0;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
163;1;147.76;32.73;0.0;8.34;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
171;1;100.8;13.2;0.0;5.24;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
174;1;370.5;-17.0;0.0;9.91;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
184;1;-0.0;-0.0;0.0;2.42;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
188;1;36.84;13.9;0.0;3.3;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
195;1;73.14;21.55;0.0;8.52;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
196;1;0.0;-0.0;0.0;12.48;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
198;1;39.74;11.8;0.0;1.44;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
207;1;321.98;84.4;0.0;1.34;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
216;1;155.6;54.7;0.0;2.21;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
217;1;105.2;0.1;0.0;7.36;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
218;1;69.83;15.12;0.0;2.23;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
221;2;0.0;0.0;0.0;0.0;0;1.00000;0.00000;380.0;5;1.10000;0.90000;
225;1;0.0;0.0;0.0;1.15;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
280;1;119.6;29.6;0.0;5.34;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
283;1;27.33;11.9;0.0;1.17;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
292;1;13.82;1.4;0.0;0.7;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
305;1;103.0;12.0;0.0;0.63;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
306;1;-0.0;0.0;0.0;4.76;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
314;1;163.1;46.3;0.0;10.6;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
333;1;524.5;43.0;0.0;6.85;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
338;2;0.0;0.0;0.0;0.0;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
346;1;197.5;48.3;0.0;0.71;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
350;1;110.4;26.2;0.0;5.62;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
352;2;0.0;0.0;0.0;0.0;0;1.00000;0.00000;380.0;5;1.10000;0.90000;
367;1;65.17;-51.5;0.0;4.85;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
401;1;56.5;36.29;0.0;3.08;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
408;1;129.1;7.4;0.0;0.04;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
410;1;170.89;50.38;0.0;6.44;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
413;2;0.0;0.0;0.0;0.0;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
416;1;70.68;13.5;0.0;6.96;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
426;1;123.1;6.5;0.0;3.25;0;1.00000;0.00000;220.0;5;1.10000;0.90000;
432;1;-0.0;-0.0;0.0;68.517663;0;1.00000;0.00000;380.0;5;1.10000;0.90000;
