bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin;
1;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
2;1;7.39;2.1;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
3;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
4;1;1.7;0.48;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
5;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;6;1.10000;0.90000;
6;1;7.95;2.26;0.0;0.0;1;1.00000;0.00000;115.0;6;1.10000;0.90000;
7;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
8;1;23.74;6.77;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
9;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
10;1;42.68;12.16;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
11;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
12;1;0.3;0.09;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
13;1;2.52;0.72;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
14;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;230.0;4;1.10000;0.90000;
15;1;0.0;0.0;0.0;30.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
16;1;44.76;12.76;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
17;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
18;1;0.71;0.2;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
19;1;0.77;0.22;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
20;1;1.13;0.32;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
21;1;4.61;1.31;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
22;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
23;1;1.41;0.4;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
24;1;2.4;0.68;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
25;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;6;1.10000;0.90000;
26;1;1.35;0.39;0.0;0.0;1;1.00000;0.00000;115.0;6;1.10000;0.90000;
27;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
28;1;2.33;0.67;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
29;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
30;1;59.09;16.84;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
31;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
32;1;0.51;0.15;0.0;0.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
33;1;6.44;1.84;0.0;0.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
34;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
35;1;20.76;5.92;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
36;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
37;1;3.57;1.02;0.0;0.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
38;1;29.81;8.5;0.0;0.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
39;1;7.41;2.11;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
40;1;2.04;0.58;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
41;1;38.34;10.93;0.0;0.0;1;1.00000;0.00000;115.0;5;1.10000;0.90000;
42;1;10.62;3.03;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
43;1;2.09;0.59;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
44;1;4.15;1.18;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
45;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;230.0;7;1.10000;0.90000;
46;1;6.34;1.81;0.0;0.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
47;1;1.54;0.44;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
48;1;1.82;0.52;0.0;0.0;1;1.00000;0.00000;115.0;6;1.10000;0.90000;
49;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;6;1.10000;0.90000;
50;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;6;1.10000;0.90000;
51;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;6;1.10000;0.90000;
52;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;6;1.10000;0.90000;
53;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;6;1.10000;0.90000;
54;1;2.66;0.76;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
55;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;230.0;7;1.10000;0.90000;
56;1;1.31;0.37;0.0;0.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
57;1;2.82;0.8;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
58;1;4.23;1.21;0.0;0.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
59;1;4.73;1.35;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
60;1;3.8;1.08;0.0;0.0;1;1.00000;0.00000;115.0;2;1.10000;0.90000;
61;1;20.55;5.86;0.0;0.0;1;1.00000;0.00000;115.0;7;1.10000;0.90000;
62;1;21.41;6.1;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
63;1;7.98;2.27;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
64;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;6;1.10000;0.90000;
65;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;6;1.10000;0.90000;
66;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;115.0;4;1.10000;0.90000;
67;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;4;1.10000;0.90000;
68;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;4;1.10000;0.90000;
69;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;4;1.10000;0.90000;
70;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;4;1.10000;0.90000;
71;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;13.8;4;1.10000;0.90000;
