bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin;
1;3;0.0;0.0;0.0;0.0;1;1.00000;0.00000;132.0;1;1.06000;0.94000;
2;2;21.7;12.7;0.0;0.0;1;1.00000;0.00000;132.0;1;1.06000;0.94000;
3;1;2.4;1.2;0.0;0.0;1;1.00000;0.00000;132.0;1;1.06000;0.94000;
4;1;7.6;1.6;0.0;0.0;1;1.00000;0.00000;132.0;1;1.06000;0.94000;
5;2;94.2;19.0;0.0;0.0;1;1.00000;0.00000;132.0;1;1.06000;0.94000;
6;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;132.0;1;1.06000;0.94000;
7;1;22.8;10.9;0.0;0.0;1;1.00000;0.00000;132.0;1;1.06000;0.94000;
8;2;30.0;30.0;0.0;0.0;1;1.00000;0.00000;132.0;1;1.06000;0.94000;
9;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;1.0;1;1.06000;0.94000;
10;1;5.8;2.0;0.0;19.0;1;1.00000;0.00000;33.0;1;1.06000;0.94000;
11;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;11.0;1;1.06000;0.94000;
12;1;11.2;7.5;0.0;0.0;1;1.00000;0.00000;33.0;1;1.06000;0.94000;
13;2;0.0;0.0;0.0;0.0;1;1.00000;0.00000;11.0;1;1.06000;0.94000;
14;1;6.2;1.6;0.0;0.0;1;1.00000;0.00000;33.0;1;1.06000;0.94000;
15;1;8.2;2.5;0.0;0.0;1;1.00000;0.00000;33.0;1;1.06000;0.94000;
16;1;3.5;1.8;0.0;0.0;1;1.00000;0.00000;33.0;1;1.06000;0.94000;
17;1;9.0;5.8;0.0;0.0;1;1.00000;0.00000;33.0;1;1.06000;0.94000;
18;1;3.2;0.9;0.0;0.0;1;1.00000;0.00000;33.0;1;1.06000;0.94000;
19;1;9.5;3.4;0.0;0.0;1;1.00000;0.00000;33.0;1;1.06000;0.94000;
20;1;2.2;0.7;0.0;0.0;1;1.00000;0.00000;33.0;1;1.06000;0.94000;
21;1;17.5;11.2;0.0;0.0;1;1.00000;0.00000;33.0;1;1.06000;0.94000;
22;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;33.0;1;1.06000;0.94000;
23;1;3.2;1.6;0.0;0.0;1;1.00000;0.00000;33.0;1;1.06000;0.94000;
24;1;8.7;6.7;0.0;4.3;1;1.00000;0.00000;33.0;1;1.06000;0.94000;
25;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;33.0;1;1.06000;0.94000;
26;1;3.5;2.3;0.0;0.0;1;1.00000;0.00000;33.0;1;1.06000;0.94000;
27;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;33.0;1;1.06000;0.94000;
28;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;132.0;1;1.06000;0.94000;
29;1;2.4;0.9;0.0;0.0;1;1.00000;0.00000;33.0;1;1.06000;0.94000;
30;1;10.6;1.9;0.0;0.0;1;1.00000;0.00000;33.0;1;1.06000;0.94000;
