bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin;
1;1;35.618824;6.5737227;0.0;0.0;1;1.00000;0.00000;138.0;1;1.10000;0.90000;
2;1;98.249974;27.511604;0.0;0.0;1;1.00000;0.00000;138.0;1;1.10000;0.90000;
3;1;48.647106;11.129965;0.0;0.0;1;1.00000;0.00000;138.0;1;1.10000;0.90000;
4;1;85.907798;3.746604;0.0;0.0;1;1.00000;0.00000;138.0;1;1.10000;0.90000;
5;1;84.780273;14.432042;0.0;0.0;1;1.00000;0.00000;138.0;1;1.10000;0.90000;
6;1;62.478442;5.521289;0.0;0.0;1;1.00000;0.00000;138.0;1;1.10000;0.90000;
7;1;49.784158;17.19519;0.0;0.0;1;1.00000;0.00000;138.0;1;1.10000;0.90000;
8;1;64.701608;7.0712876;0.0;0.0;1;1.00000;0.00000;138.0;1;1.10000;0.90000;
9;1;20.503948;8.8063929;0.0;0.0;1;1.00000;0.00000;138.0;1;1.10000;0.90000;
10;1;46.413917;14.1549;0.0;0.0;1;1.00000;0.00000;138.0;1;1.10000;0.90000;
11;1;16.100847;3.9200655;0.0;0.0;1;1.00000;0.00000;138.0;1;1.10000;0.90000;
12;1;43.588438;2.8695031;0.0;0.0;1;1.00000;0.00000;138.0;1;1.10000;0.90000;
13;1;61.22114;10.723958;0.0;0.0;1;1.00000;0.00000;138.0;1;1.10000;0.90000;
14;1;130.84189;52.410125;0.0;0.0;1;1.00000;0.00000;138.0;1;1.10000;0.90000;
15;1;104.28734;12.652581;0.0;0.0;1;1.00000;0.00000;138.0;1;1.10000;0.90000;
16;1;27.228169;9.9052567;0.0;0.0;1;1.00000;0.00000;138.0;1;1.10000;0.90000;
17;1;32.011464;13.061043;0.0;0.0;1;1.00000;0.00000;138.0;1;1.10000;0.90000;
18;1;119.67057;30.774143;0.0;0.0;1;1.00000;0.00000;138.0;1;1.10000;0.90000;
19;1;65.320532;13.431944;0.0;0.0;1;1.00000;0.00000;138.0;1;1.10000;0.90000;
20;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;345.0;1;1.10000;0.90000;
21;1;58.218813;18.966129;0.0;0.0;1;1.00000;0.00000;138.0;1;1.10000;0.90000;
22;1;0.0;0.0;0.0;0.0;1;1.00000;0.00000;345.0;1;1.10000;0.90000;
23;1;29.018699;6.2106536;0.0;0.0;1;1.00000;0.00000;138.0;1;1.10000;0.90000;
