bus;Pg;Qg;Qmax;Qmin;Vg;mBase;status;Pmax;Pmin;c0;c1;c2;
913;1133.335;251.085;772.11;-269.94;1.0;100.0;1;1700.0;566.67;0.000000;6.586541;0.000000;
2107;1000.0;202.14;661.9;-257.62;1.0;100.0;1;1500.0;500.0;0.000000;34.794851;0.000000;
2267;333.335;74.665;228.16;-78.83;1.0;100.0;1;500.0;166.67;0.000000;42.293854;0.000000;
3659;1333.335;330.815;943.64;-282.01;1.0;100.0;1;2000.0;666.67;0.000000;32.583236;0.000000;
4586;-313.8;31.575;92.96;-29.81;1.0;100.0;1;100.0;-727.6;0.000000;16.762466;0.000000;
5097;14.155;2.4;8.91;-4.11;1.0;100.0;1;21.23;7.08;0.000000;27.707032;0.000000;
6233;800.0;177.855;545.68;-189.97;1.0;100.0;1;1200.0;400.0;0.000000;8.398333;0.000000;
6798;666.665;123.065;429.61;-183.48;1.0;100.0;1;1000.0;333.33;0.000000;37.992337;0.000000;
7279;-404.465;4.07;14.78;-6.64;1.0;100.0;1;100.0;-908.93;0.000000;20.760837;0.000000;
7960;400.0;90.49;274.2;-93.22;1.0;100.0;1;600.0;200.0;0.000000;22.517790;0.000000;
8605;400.0;90.145;273.94;-93.65;1.0;100.0;1;600.0;200.0;0.000000;31.271293;0.000000;
9239;400.0;90.49;274.2;-93.22;1.0;100.0;1;600.0;200.0;0.000000;17.655344;0.000000;
